NVCBP8A,NVCBP8G,NVCBP12,NVCBP13,NVCBP14A,NVCBP14B,NVCBP14D,NVCBP14I,NVCBP15D,NVCBP15F,NPCFP14I,DPTOMPIO,NPCEP5,NPCEP4,NVCBP12,NVCBP13,Fecha_anio
9,9,1,6,2,2,2,2,2,2,1,Bogotá,2,46,1,6,2017
9,9,1,6,2,2,2,2,2,2,1,Bogotá,1,22,1,6,2017
2,2,1,4,2,1,1,2,1,1,1,Bogotá,2,59,1,4,2017
1,2,1,6,2,1,2,2,1,2,1,Bogotá,2,24,1,6,2017
2,2,1,4,2,2,2,2,2,1,1,Bogotá,2,21,1,4,2017
2,2,1,6,2,2,2,2,2,2,1,Bogotá,1,29,1,6,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,81,1,4,2017
1,2,1,5,1,2,2,1,2,2,1,Bogotá,2,33,1,5,2017
2,2,1,4,2,2,1,1,1,2,1,Bogotá,2,42,1,4,2017
1,9,1,6,2,2,2,2,1,2,1,Bogotá,1,21,1,6,2017
2,1,1,6,1,2,2,1,1,2,1,Bogotá,2,55,1,6,2017
2,1,1,6,1,2,2,1,1,2,1,Bogotá,2,26,1,6,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,45,1,4,2017
2,2,1,4,2,2,2,2,2,1,1,Bogotá,2,59,1,4,2017
2,2,1,4,1,2,2,2,1,1,1,Bogotá,1,19,1,4,2017
2,1,1,4,2,2,2,2,2,2,1,Bogotá,2,28,1,4,2017
2,1,1,4,2,2,2,2,2,2,1,Bogotá,2,22,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,71,1,4,2017
2,2,1,4,2,2,2,1,2,1,1,Bogotá,1,44,1,4,2017
1,2,1,4,2,2,2,1,1,2,1,Bogotá,2,11,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,7,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,54,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,24,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,17,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,82,1,4,2017
9,9,1,4,2,2,2,2,2,2,1,Bogotá,2,51,1,4,2017
2,2,1,4,2,2,2,1,1,2,1,Bogotá,1,13,1,4,2017
1,1,1,4,2,2,2,2,2,2,1,Bogotá,2,52,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,41,1,4,2017
2,2,1,5,2,2,2,2,2,2,1,Bogotá,2,27,1,5,2017
2,2,1,4,2,1,2,2,1,2,1,Bogotá,1,29,1,4,2017
2,2,1,4,1,2,2,2,2,1,1,Bogotá,1,66,1,4,2017
1,2,1,4,2,2,2,1,2,2,1,Bogotá,2,93,1,4,2017
1,1,1,4,2,2,2,1,2,2,1,Bogotá,2,48,1,4,2017
2,1,1,4,1,1,1,2,2,1,1,Bogotá,2,5,1,4,2017
2,2,1,4,1,1,2,2,2,2,1,Bogotá,2,55,1,4,2017
